fraud,election_viol,election_viol2,num_closed_polls,dist2kabul,elevation
0,0,0,4,257.33572,3500.5803
0,0,0,0,350.40436,2061.1113
0,0,0,0,248.53767,1071.3438
0,0,0,0,231.21785,1066.3976
0,0,0,3,204.95302,1796.7565
0,0,0,0,220.73703,1730.0978
1,0,0,0,195.09628,3814.5564
0,0,0,2,227.40865,2557.7966
0,0,0,2,259.94315,1573.2152
0,0,0,0,292.2312,1344.7211
0,0,0,0,330.70242,1305.7328
0,0,0,1,326.88815,703.21069
0,0,0,1,326.8652,462.54166
0,0,0,0,277.172,632.88519
0,0,0,0,256.7529,848.88
0,0,0,0,299.42679,487.86749
0,0,0,0,268.47043,972.6463
0,0,0,0,314.31195,530.784
0,0,0,0,220.30328,2593.887
0,0,0,15,170.2899,866.42371
0,0,0,1,122.06847,3392.228
0,0,0,1,156.58601,1704.6244
1,.010537852,.00011104633,4,128.85965,1791.333
0,0,0,0,109.3425,3052.6143
0,0,0,0,105.76217,2728.6545
0,0,0,0,121.80659,2436.0334
0,0,0,8,159.10675,3111.8499
0,0,0,3,162.25218,1461.9658
0,0,0,0,189.06862,1637.4131
0,.023749584,.00056404277,52,205.21921,810.76575
0,0,0,1,135.79089,2555.394
0,0,0,0,184.21039,2732.1077
0,0,0,0,192.23492,2644.1296
0,0,0,2,160.23122,2411.3601
0,.023343639,.00054492551,60,253.15379,410.27393
0,0,0,47,287.46729,417.81348
0,0,0,14,272.69708,366.68301
0,.021951487,.00048186778,30,242.08072,550.37299
0,0,0,20,223.15089,585.16998
0,.0077327262,.000059795053,5,230.58836,850.31506
1,.015224871,.0002317967,45,271.24969,535.31915
0,0,0,1,215.96709,1481.1022
0,0,0,1,238.72809,1050.6681
0,0,0,2,213.4268,2662.5603
0,0,0,1,235.45374,1690.4463
0,0,0,0,173.22791,2726.8345
0,0,0,0,187.94994,2070.2485
0,0,0,0,257.45959,1391.0142
0,0,0,0,304.84235,368.39999
0,0,0,3,313.34174,372.42999
0,0,0,0,265.45413,1946.3265
0,0,0,0,368.18427,275.72049
0,0,0,2,352.94568,290.41293
0,0,0,3,326.38495,327.29794
0,.0091083804,.000082962601,10,343.1138,318.995
0,0,0,1,320.91724,783.53558
0,0,0,2,287.11218,883.44867
0,0,0,4,261.08792,1373.7938
0,0,0,0,269.72055,1755.2826
0,0,0,3,304.66776,478.50287
0,0,0,1,324.61368,303.03629
0,0,0,0,284.18646,453.21039
0,0,0,1,286.97354,1016.0022
0,0,0,5,382.95709,451.50436
0,0,0,0,418.42697,300.90497
0,.041358203,.001710501,0,380.31284,1430.96
0,0,0,3,401.29135,274.91614
0,0,0,1,413.64413,263.72696
0,0,0,1,374.87604,291.02856
0,0,0,1,378.93164,279.435
1,0,0,0,351.72937,407.04776
0,0,0,0,437.9845,254.8098
0,0,0,0,371.08569,336.51172
0,.042608794,.0018155094,0,391.95721,775.21417
0,0,0,0,427.23727,913.4057
0,0,0,2,424.83121,1449.3232
0,0,0,2,469.7294,811.03162
0,.0049655391,.00002465658,12,461.36584,1600.1327
0,0,0,5,396.18829,2417.521
0,0,0,3,369.76718,1928.3206
0,0,0,0,374.09763,2138.6995
0,0,0,4,436.88626,642.52002
0,0,0,1,433.22501,473.37509
0,0,0,0,455.24042,373.14734
0,0,0,0,456.67136,271.26346
0,0,0,1,435.3573,330.19666
0,0,0,0,416.02042,883.69678
0,0,0,0,472.02054,294.4339
0,.019338993,.00037399665,1,551.97162,1549.13
0,.060962599,.0037164385,18,573.88184,1289.7643
0,.032912418,.0010832273,1,511.11786,1760.7267
0,0,0,9,444.19977,2138.1333
1,.031085828,.00096632872,5,507.11023,983.95227
0,0,0,2,528.9765,1036.9166
0,.12274708,.015066845,5,558.8949,858.81311
0,0,0,4,642.33789,1239.2354
0,0,0,0,629.18127,969.26331
0,.0057868697,.00003348786,55,656.47998,1215.6129
0,.015951889,.00025446276,12,589.58948,1630.1339
0,0,0,0,596.26166,1758.0236
0,0,0,4,635.04633,1019.6708
0,0,0,4,696.33679,877.95361
0,0,0,2,732.38287,849.77356
0,0,0,3,736.19238,873.06342
,,,,,
,,,,,
0,0,0,2,665.83514,1475.2788
0,0,0,10,542.71295,1986.4963
0,0,0,0,546.18964,2483.7461
0,.011214974,.00012577565,32,644.27081,1341.3685
0,0,0,1,477.01926,2437.8066
0,.012773187,.0001631543,8,598.81555,1310.2931
0,.014111637,.0001991383,5,691.59521,731.7384
0,.064699791,.0041860631,7,637.61249,821.17133
